,egg,instar1,pupae,male,female1
mort min,-0.4,0,-0.396,0.004734,0.004734
mort max,1,0,1,0.313306744,0.313306744
mort min temp,5,-1000,2.73,-20.1391,-20.1391
mort max temp,37,1000,34.6,31.6609,31.6609
