,egg,instar1,instar2,instar3,instar4,instar5,male,female1,female2,female3
mort min,-0.003604,0.00264,0.003424,0.006951,0.003796,0.0008579,0,0,-0.01635,-0.01635
mort max,1,1,1,1,1,1,0,0,1,1
mort min temp,-40.95,-21.2331,-13.1781,-20.0013,-38.8642,-15.3331,-100,-100,-18.2256,-18.2256
mort max temp,90.1043,68.5632,59.6738,64.3016,79.7827,60.6974,100,100,69.3481,69.3481
