,egg,instar1,instar2,instar3,pupae,male,female 1,female 2,female 3,female 4,female 5,female 6,female 7
mort min,0.110589,0.0905888,0.0349888,0.0365888,0.0110888,0.0475888,0.0188888,0.0409888,0.150989,0.00098883,0.250989,0.200989,0.279889
mort max,0.3288,0.2688,0.112363,0.113963,0.0884628,0.1398,0.0962628,0.12,0.45,0.0783628,0.75,0.6,0.8367
mort min temp,3,3,3,3,3,3,3,3,3,3,3,3,3
mort max temp,33,33,33,33,33,33,33,33,33,33,33,33,33
