,egg,instar1,instar2,instar3,instar4,pupae,male,female1,female2
mort min,0.01008,0.03769,0.01886,0.01008,0.00211,-0.1208,-0.5556,-0.5556,-0.5556
mort max,1,1,1,1,1,1,0,0,0
mort min temp,-81.1089,-77.5755,-109.8191,-81.1089,-172.9641,-30.8908,-12.4689,-12.4689,-12.4689
mort max temp,93.4166,94.4985,126.962,93.4166,185.8674,61.0795,49.5059,49.5059,49.5059
