temperature,devRateE,devRateI1,devRateP,devRateM,devRateF
15,0.047596383,0.037636432,nan,nan,nan
17,0.07558579,0.075757576,0.04008016,0.045126354,0.046663556
20,0.078678206,0.091743119,0.053276505,0.079617834,0.089686099
23,0.178253119,0.202020202,0.08984726,0.119189511,0.126582278
25,0.178571429,0.197628458,0.104384134,0.141442716,0.153374233
27,0.307692308,0.263157895,0.125313283,0.184842884,0.185873606
30,0.333333333,0.331125828,0.151515152,0.184842884,0.188323917
33,0.265957447,0.307692308,0.184162063,0.165562914,0.148367953
36,0.318471338,0.305810398,0.150829563,0.132450331,0.171526587
