,egg,instar1,instar2,instar3,instar4,male,female1,female2,female3
mort min,0,0.02983,-0.001,0.00775,0.01484,0.04274,0.04274,0.04274,0.04274
mort max,0,1,1,1,1,1,0,0,0
mort min temp,-1000,-5.0985,-12.6386,-10,-29.0025,-50.8636,-50.8636,-50.8636,-50.8636
mort max temp,1000,45.7652,50.6386,53,70.2525,75.4469,75.4469,75.4469,75.4469
